_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
1158121,5033221,,,1890.0,PRIVATE,11,University-Rosedale,51 MADISON AVE,3,13,2022-01-20,68,Evaluation needs to be conducted in 2 years,15,3.0,3.0,5.0,3.0,3.0,3.0,,3.0,,,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,,,S1127,43.6698858155,-79.40353340520001,312563.635,4836441.465
1158122,4154134,2017.0,2021.0,1965.0,PRIVATE,14,Toronto-Danforth,100 GAMBLE AVE,12,152,2021-12-31,60,Evaluation needs to be conducted in 1 year,18,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,,S1421,43.6904194773,-79.350649972,316824.231,4838729.001
1158123,4154091,2017.0,2021.0,1965.0,PRIVATE,14,Toronto-Danforth,175 COSBURN AVE,4,30,2021-12-31,74,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,4.0,3.0,,3.0,,,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,,S1422,43.689958951499996,-79.3450906815,317272.466,4838678.636
1158124,4154108,2017.0,2021.0,1960.0,PRIVATE,14,Toronto-Danforth,15 BATER AVE,3,34,2021-12-31,75,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,3.0,3.0,3.0,,4.0,,,3.0,4.0,5.0,3.0,4.0,4.0,,4.0,4.0,,S1421,43.6867361824,-79.3548678509,316484.95,4838319.22
1158125,4154110,2018.0,2021.0,1927.0,PRIVATE,14,Toronto-Danforth,12 BATER AVE,4,50,2021-12-31,75,Evaluation needs to be conducted in 2 years,17,5.0,5.0,5.0,3.0,4.0,3.0,,3.0,,4.0,2.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,,S1421,43.6870714875,-79.3548247563,316488.358,4838356.478
1158126,4154095,2017.0,2021.0,1959.0,PRIVATE,14,Toronto-Danforth,190 COSBURN AVE,6,47,2021-12-31,78,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,,S1422,43.6904180968,-79.3451955874,317263.914,4838729.63
1158127,4153637,2017.0,2021.0,1990.0,SOCIAL HOUSING,14,Toronto-Danforth,1480 QUEEN ST E,4,25,2021-12-31,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,3.0,4.0,4.0,,4.0,,,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,,4.0,S1439,43.6655838194,-79.3210240096,319218.38899999997,4835974.545
1158128,4154090,2017.0,2021.0,1950.0,PRIVATE,14,Toronto-Danforth,165 COSBURN AVE,6,83,2021-12-31,69,Evaluation needs to be conducted in 2 years,17,5.0,4.0,5.0,3.0,3.0,3.0,,4.0,3.0,,4.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,,S1422,43.6897704258,-79.345544715,317235.905,4838657.626
1158129,4154102,2017.0,2021.0,1956.0,PRIVATE,14,Toronto-Danforth,130 COSBURN AVE,6,48,2021-12-31,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,3.0,4.0,,4.0,4.0,,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,,S1422,43.689964771999996,-79.3476769455,317063.98600000003,4838678.909
1158130,4154101,2017.0,2021.0,1962.0,PRIVATE,14,Toronto-Danforth,150 COSBURN AVE,12,153,2021-12-31,79,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,S1422,43.6902830528,-79.3461159995,317189.748,4838714.494
